period,pca_x,pca_y
2007-2011,0.4151103646073556,-4.815559278107408
2007-2011,4.624555037548226,-4.716673311254555
2007-2011,2.005332752537044,-3.2047104993807354
2007-2011,6.378196245925237,-2.414596140272522
2007-2011,3.5841638400769784,-5.840262706327144
2007-2011,6.014988321577521,-2.003291398657639
2007-2011,4.376020448353524,1.3766555893793184
2007-2011,2.7126790186271563,0.4985967920948599
2007-2011,1.755794485055484,-5.2050230110993265
2007-2011,3.6483773707136944,-5.836782461361906
2007-2011,4.046629110330849,0.8588597095196719
2007-2011,-1.9329761563051844,-6.664447207928441
2007-2011,4.739195429820284,-0.9266609769849858
2007-2011,6.002207760705977,-0.6603328648299994
2007-2011,6.162867778435439,1.689451678645737
2007-2011,2.931346728325302,0.2985239446260994
2007-2011,2.6984868029065536,2.100460886900419
2007-2011,6.2549733119542905,-5.525293714604251
2007-2011,6.546533429342745,-5.721740729326367
2007-2011,3.2430755286578314,-0.7521433309484358
2007-2011,7.789539177872447,-3.5105991407411836
2007-2011,5.879022671087554,-3.0789064363444547
2007-2011,4.742182298825254,-4.888519501466834
2007-2011,6.684525374338289,0.07232923530463642
2007-2011,3.346212649393869,-3.4409245927371632
2007-2011,2.4615641940583584,-2.948463092317043
2007-2011,5.090741223711834,-0.20224213898193782
2007-2011,7.230647954740196,-3.2412235795718827
2007-2011,7.018152692881113,-2.543477422050096
2007-2011,5.175944287732655,-0.7138310470041207
2007-2011,3.393007278457061,-2.7888440101842233
2007-2011,5.251451513838019,-1.3851944761902455
2007-2011,0.5001805804064376,-5.600642235337073
2007-2011,4.5758932042443705,-2.0496742929014635
2007-2011,4.161780319856958,-4.053817819108297
2007-2011,4.193470551782852,-0.590975342822093
2007-2011,5.518398593489316,0.5152994268225546
2007-2011,5.091181972580939,-1.8517619338306923
2007-2011,5.462157861815418,0.9033634538334756
2007-2011,3.658206059001276,-2.079437339263194
2007-2011,5.535881910629812,-6.698353237884822
2007-2011,6.34872486163425,-3.376923566279879
2007-2011,6.048668449804843,-0.34064902422481175
2007-2011,5.359833630831634,-1.6462907042428387
2007-2011,3.899070105273283,-5.894920928480785
2007-2011,-2.6616225652563,-4.938064141949056
2007-2011,6.575474889573902,1.5419553719342929
2007-2011,4.298471522167839,1.344754579465567
2007-2011,4.47279689026438,-4.235105367394861
2007-2011,7.400228783041117,-3.3521467036414494
2007-2011,6.870800755372812,-2.740402396848805
2007-2011,6.7845573991676575,-5.030002984723399
2007-2011,1.6937863303825664,-2.763320596919267
2007-2011,1.3757380845243052,-0.14490418740787733
2007-2011,2.497866997091742,-6.93306148334413
2007-2011,4.421891534018926,-0.10997424089840574
2007-2011,4.0153060740195015,2.448359332850233
2007-2011,3.8922127941495974,3.024211496048947
2007-2011,0.6212586147854566,-4.210906695506762
2007-2011,5.3516593107784285,-2.5117566907457745
2007-2011,3.6566580468223364,-4.615711460846512
2007-2011,-0.5601529193375193,-6.289467126902393
2007-2011,3.933899880090888,-1.6949008463777604
2007-2011,4.260232594086737,-1.1617672262427474
2007-2011,8.612654097902428,-0.8009043223132539
2007-2011,5.626083142397503,-0.5024377832206797
2007-2011,7.986066423332836,-3.528810413395302
2007-2011,4.1481028705991845,-3.124646322916308
2007-2011,7.0340000399719695,-1.4510357901302442
2007-2011,0.7815264286913016,-3.635551252427223
2007-2011,5.065463516169666,-5.434845636355299
2007-2011,2.1645356367936657,0.17824132399914233
2007-2011,6.170887016828819,0.2280334860392333
2007-2011,2.23030598040523,-0.7969333023100613
2007-2011,2.464842710424707,-4.732926346926973
2007-2011,3.123766368448579,1.2250944102014445
2007-2011,1.256584042257952,-5.001845271139603
2007-2011,-1.760019578697854,-2.7936748467802452
2007-2011,-2.2027136873026776,-0.5670656317697687
2007-2011,-1.2511038408713162,-3.1361368728301464
2007-2011,2.7258925110229493,-3.5078700261090745
2007-2011,6.429154277520416,-2.9031765964185645
2007-2011,5.144112272618317,-0.4299659452118493
2007-2011,-2.564535140533456,-5.0369544511187145
2007-2011,4.634387583240569,-5.278858134806059
2007-2011,6.524676478550155,0.8960565834869548
2007-2011,7.650239441047502,-0.36220940323047646
2007-2011,-4.80267795646453,-3.5627683443110767
2007-2011,3.9392784992774263,-1.083418745052943
2007-2011,3.724904944370045,-0.24994976191045598
2007-2011,-0.45098888531360065,-5.262101063470794
2007-2011,4.755256207014507,1.5255316669881096
2007-2011,6.00588737606077,-0.638620114417048
2007-2011,5.791926113308266,0.3294405469016332
2007-2011,5.399556643144624,-1.5898976800915547
2007-2011,7.61619830751971,-1.917287816770084
2007-2011,6.643600176221346,-1.7800230901396796
2007-2011,2.4440437709714677,3.736930260577635
2007-2011,7.001942170114887,-3.765286212506033
2007-2011,5.254235918663416,-3.3197077139272606
2007-2011,4.0402577387769,-4.881837037243953
2007-2011,0.04967517777661254,-2.946243254813183
2007-2011,-3.3827733320180244,-4.988600291519818
2007-2011,7.4919753583182835,-5.096776103005749
2007-2011,6.005340167473436,-4.191160364185157
2007-2011,5.999287493988884,-2.6729864716741543
2007-2011,5.170458474024802,-2.177368875160773
2007-2011,6.002409495992208,0.8692560860261125
2007-2011,-5.720888437013762,-4.985075736746765
2007-2011,0.7681634681147926,-7.941524881715543
2007-2011,5.413177853016615,0.29394200865289927
2007-2011,6.320536191088744,-3.011468928157034
2007-2011,6.51086822428554,0.15331126599083117
2007-2011,4.697466923661484,-1.6901825250502223
2007-2011,-0.39368810211126837,-0.43489410212786744
2007-2011,-0.9843727553512163,-6.069850418076195
2007-2011,-2.0678344744171433,-6.636937664046359
2007-2011,-2.0187871501419488,-4.787000152160315
2007-2011,-1.9068275030911066,-5.6712426733194965
2007-2011,-4.0109914253305625,-1.0057249752618975
2007-2011,-3.8359398522007195,-0.8079675551016051
2007-2011,6.266607776534702,-4.056317621938522
2007-2011,5.918050337520562,-2.798515521900489
2007-2011,-1.040034897906592,-5.32550331641553
2007-2011,-0.9218334002703837,-6.134072469765083
2007-2011,1.3292830167324292,-5.224867339006712
2007-2011,4.381818683520198,0.6879790373659678
2007-2011,-0.7101523317654261,-2.622920624330079
2007-2011,7.947967311119051,-3.3254323187988284
2007-2011,4.287054227109309,-3.7862388607172965
2007-2011,6.145054826510199,-4.1444311129547
2007-2011,3.2924640566609424,0.140789673193902
2007-2011,5.728456409502233,-4.821197649154172
2007-2011,-2.0564141753512493,-5.002121632339598
2007-2011,4.837665501507294,1.3213779495570512
2007-2011,4.567232073110052,-2.735286195457338
2007-2011,7.289945706508547,-1.8866953377351234
