x,y,year,period,representation
-0.29195383,-0.28667453,2009,2007-2011,SBERT MiniLM
-0.43723887,-0.14305973,2009,2007-2011,SBERT MiniLM
0.22750784,-0.32945746,2009,2007-2011,SBERT MiniLM
-0.26416984,-0.22809109,2009,2007-2011,SBERT MiniLM
-0.3313051,-0.0062888935,2009,2007-2011,SBERT MiniLM
-0.39925045,0.042742684,2009,2007-2011,SBERT MiniLM
-0.09285576,0.12752122,2009,2007-2011,SBERT MiniLM
-0.11461858,0.12759346,2009,2007-2011,SBERT MiniLM
-0.28972915,-0.15632668,2009,2007-2011,SBERT MiniLM
-0.3787433,-0.40990043,2009,2007-2011,SBERT MiniLM
-0.13647541,-0.11802167,2009,2007-2011,SBERT MiniLM
-0.46321166,-0.12429969,2009,2007-2011,SBERT MiniLM
-0.1507538,-0.22732198,2009,2007-2011,SBERT MiniLM
-0.19592631,-0.29508585,2009,2007-2011,SBERT MiniLM
-0.31286758,0.033632994,2009,2007-2011,SBERT MiniLM
-0.23868063,-0.24580751,2009,2007-2011,SBERT MiniLM
-0.0063900054,-0.38181823,2009,2007-2011,SBERT MiniLM
-0.12977494,-0.055428147,2009,2007-2011,SBERT MiniLM
-0.3552518,-0.20035782,2009,2007-2011,SBERT MiniLM
-0.49058706,-0.23498993,2009,2007-2011,SBERT MiniLM
-0.27215424,-0.015488714,2009,2007-2011,SBERT MiniLM
-0.30197915,-0.2715584,2009,2007-2011,SBERT MiniLM
-0.26569992,-0.05683924,2009,2007-2011,SBERT MiniLM
0.112868026,-0.33292586,2009,2007-2011,SBERT MiniLM
-0.2573058,-0.22612679,2009,2007-2011,SBERT MiniLM
-0.2963928,-0.2671969,2009,2007-2011,SBERT MiniLM
-0.36272383,-0.029382795,2009,2007-2011,SBERT MiniLM
-0.2459974,-0.076306954,2009,2007-2011,SBERT MiniLM
-0.25703377,-0.30556756,2009,2007-2011,SBERT MiniLM
-0.333113,0.029298946,2009,2007-2011,SBERT MiniLM
-0.103854895,-0.22328198,2009,2007-2011,SBERT MiniLM
-0.3188616,-0.4286547,2009,2007-2011,SBERT MiniLM
-0.3038366,-0.13093255,2009,2007-2011,SBERT MiniLM
-0.24278846,-0.1888533,2009,2007-2011,SBERT MiniLM
-0.28862643,-0.20985538,2009,2007-2011,SBERT MiniLM
-0.35033232,-0.33815345,2009,2007-2011,SBERT MiniLM
0.1124918,-0.40364844,2009,2007-2011,SBERT MiniLM
-0.2480008,-0.026442192,2009,2007-2011,SBERT MiniLM
-0.1476737,0.09631087,2009,2007-2011,SBERT MiniLM
-0.36772618,-0.15778321,2009,2007-2011,SBERT MiniLM
-0.34345567,-0.23396073,2009,2007-2011,SBERT MiniLM
-0.40200263,-0.16181476,2009,2007-2011,SBERT MiniLM
-0.31385958,-0.1939961,2009,2007-2011,SBERT MiniLM
0.025471196,-0.19339998,2009,2007-2011,SBERT MiniLM
-0.09080366,0.16030481,2009,2007-2011,SBERT MiniLM
-0.13951857,-0.52984965,2009,2007-2011,SBERT MiniLM
-0.06662761,-0.06809993,2009,2007-2011,SBERT MiniLM
-0.30339032,0.11854309,2009,2007-2011,SBERT MiniLM
-0.32785287,0.14753166,2009,2007-2011,SBERT MiniLM
0.043035388,-0.3139674,2009,2007-2011,SBERT MiniLM
-0.35103476,-0.2754299,2009,2007-2011,SBERT MiniLM
-0.29849556,-0.4243515,2009,2007-2011,SBERT MiniLM
0.105443224,-0.2566591,2009,2007-2011,SBERT MiniLM
-0.2252548,-0.07874416,2009,2007-2011,SBERT MiniLM
-0.40420842,-0.14924547,2009,2007-2011,SBERT MiniLM
-0.4700048,0.0406484,2009,2007-2011,SBERT MiniLM
-0.2266821,-0.08813886,2009,2007-2011,SBERT MiniLM
-0.40843308,-0.11076526,2009,2007-2011,SBERT MiniLM
-0.14959505,-0.35897756,2009,2007-2011,SBERT MiniLM
-0.41828215,-0.08581495,2009,2007-2011,SBERT MiniLM
0.057111964,-0.24962305,2009,2007-2011,SBERT MiniLM
-0.21283633,-0.40715277,2009,2007-2011,SBERT MiniLM
0.0016636103,0.082873195,2009,2007-2011,SBERT MiniLM
-0.39521733,-0.11683765,2009,2007-2011,SBERT MiniLM
-0.15257314,-0.03588894,2009,2007-2011,SBERT MiniLM
0.0026207566,-0.074112035,2009,2007-2011,SBERT MiniLM
