x,y,year,period,representation
-7.9040704,0.28654197,2008,2007-2011,SBERT Specter
-7.683894,0.4597099,2008,2007-2011,SBERT Specter
-7.628,0.008930415,2008,2007-2011,SBERT Specter
-5.151029,1.7901021,2008,2007-2011,SBERT Specter
-7.5099845,1.2449626,2008,2007-2011,SBERT Specter
-8.5968075,0.95307696,2008,2007-2011,SBERT Specter
-7.7922177,-0.034979343,2008,2007-2011,SBERT Specter
-6.5867743,0.8612937,2008,2007-2011,SBERT Specter
-7.007604,1.7620853,2008,2007-2011,SBERT Specter
-4.0395427,-2.308467,2008,2007-2011,SBERT Specter
-3.8741899,-2.957522,2008,2007-2011,SBERT Specter
-4.6105976,6.3808603,2008,2007-2011,SBERT Specter
3.4601402,4.4798465,2008,2007-2011,SBERT Specter
-5.478892,4.205019,2008,2007-2011,SBERT Specter
-4.3057804,-1.913961,2008,2007-2011,SBERT Specter
2.4453998,5.1369834,2008,2007-2011,SBERT Specter
1.6577026,4.007183,2008,2007-2011,SBERT Specter
0.50625265,2.738529,2008,2007-2011,SBERT Specter
2.853168,6.5292425,2008,2007-2011,SBERT Specter
-6.5829473,1.2545699,2008,2007-2011,SBERT Specter
2.5828242,5.31726,2008,2007-2011,SBERT Specter
2.452067,5.8756266,2008,2007-2011,SBERT Specter
-6.3417025,2.2618499,2008,2007-2011,SBERT Specter
-5.0312023,-0.43109235,2008,2007-2011,SBERT Specter
-2.1912823,-1.7441019,2008,2007-2011,SBERT Specter
-7.062676,1.2687838,2008,2007-2011,SBERT Specter
-2.2445812,2.570881,2008,2007-2011,SBERT Specter
-7.041392,0.66899836,2008,2007-2011,SBERT Specter
-5.0240545,-0.80257565,2008,2007-2011,SBERT Specter
-6.120271,1.1891286,2008,2007-2011,SBERT Specter
3.4958348,1.7104951,2008,2007-2011,SBERT Specter
-2.9517844,2.6423085,2008,2007-2011,SBERT Specter
-5.318311,3.4081285,2008,2007-2011,SBERT Specter
0.29832208,5.828405,2008,2007-2011,SBERT Specter
-0.17579961,2.9809737,2008,2007-2011,SBERT Specter
-6.7670274,-0.9547821,2008,2007-2011,SBERT Specter
-6.391941,-0.43831527,2008,2007-2011,SBERT Specter
-4.642973,-0.9873985,2008,2007-2011,SBERT Specter
-6.3534026,-0.11948398,2008,2007-2011,SBERT Specter
-2.7159336,-0.6419646,2008,2007-2011,SBERT Specter
-5.925016,1.5976261,2008,2007-2011,SBERT Specter
-5.023431,5.794656,2008,2007-2011,SBERT Specter
-2.0612404,1.5335819,2008,2007-2011,SBERT Specter
-4.400575,-2.27118,2008,2007-2011,SBERT Specter
-4.3754997,-2.815004,2008,2007-2011,SBERT Specter
-1.5100896,5.259136,2008,2007-2011,SBERT Specter
-4.0706167,0.16418365,2008,2007-2011,SBERT Specter
-6.315147,-2.016191,2008,2007-2011,SBERT Specter
