period,pca_x,pca_y
2007-2011,-2.700569539513105,-2.365481372406842
2007-2011,-3.6289849454320646,-5.93182457901318
2007-2011,-0.32636946799035604,-3.5873031606849564
2007-2011,-1.306859579144066,-4.228494094923146
2007-2011,5.997239122165094,-0.0353131609084404
2007-2011,-0.8875427742587949,-5.901396091372409
2007-2011,-1.541741925631794,-3.2371708300589948
2007-2011,-1.1242367055831008,-2.3014117744928733
2007-2011,4.9850708815116285,-2.257431595793913
2007-2011,-0.4222341857165586,-6.234036978863354
2007-2011,4.7377665431758125,0.9286667926080875
2007-2011,4.6900837252270415,1.830249112252654
2007-2011,6.673114872609424,0.010523103467130285
2007-2011,6.477586058800939,-3.5132007406418886
2007-2011,3.671204399753503,1.0151181468964998
2007-2011,5.187628379542312,1.2530817830684011
2007-2011,4.93823111314078,-0.19612647823748786
2007-2011,-0.5254404366450429,-3.350568351365415
2007-2011,3.132862757931478,1.0907662067626898
2007-2011,4.279060359985475,-1.2981889065754009
2007-2011,1.9247961787589132,-5.387306309724915
2007-2011,3.7957826516751885,1.876802919822093
2007-2011,4.2484638692956,1.7003147385068669
2007-2011,0.34662842544745764,-1.4280961708717363
2007-2011,4.868230452882856,-0.5822315501960611
2007-2011,-1.3938206586480169,-2.035116775107815
2007-2011,4.68968531827071,-1.4181409012984807
2007-2011,4.034494714058164,0.3750337014117542
2007-2011,6.351323174695204,-0.7912915430205651
2007-2011,-1.8808688850732826,-1.8003947719186946
2007-2011,5.364216204435965,-0.9419929095917757
2007-2011,4.996165572975836,0.029792908949599822
2007-2011,6.187668451169303,-1.450873803801374
2007-2011,2.656669478943277,-4.059382283724718
2007-2011,5.626758739257882,-3.917560637422772
2007-2011,-0.6335047265570949,-4.919990104249427
2007-2011,7.528239198705743,-3.956830000368102
2007-2011,6.0507769799913085,-3.8909827397375834
2007-2011,6.704582407599391,-0.35321614773911136
2007-2011,5.282315594797206,-2.0604534620406527
2007-2011,4.598726074354985,0.14655109177595285
2007-2011,-0.2285519500479987,-4.802239814253127
2007-2011,2.5763113757431757,0.8101362559629706
2007-2011,6.187263356394258,-0.33749414667579714
2007-2011,3.923020064204006,1.1537243234010108
2007-2011,5.885436238225637,1.6965635442706688
2007-2011,6.348852396694534,-2.4969821944386914
2007-2011,6.666188613457853,-1.9762493832792885
2007-2011,7.244356794937039,-1.2484147642777104
2007-2011,2.6920961313670855,-5.5058953208348855
2007-2011,7.448752898715785,-1.7487770823874564
2007-2011,6.492413935456375,-3.744895484558306
2007-2011,-1.6317857061495271,-4.27973988056062
2007-2011,2.498402902218301,1.8612546107352346
2007-2011,5.515923251153707,0.40165165194309693
2007-2011,-0.9347012010770053,-4.992350907363871
2007-2011,0.3411474921470773,-6.091798944806281
2007-2011,5.227308052096015,-4.12170248890102
2007-2011,2.742172878989818,-3.701794204891115
2007-2011,0.16525558013840852,-3.5095359331675495
2007-2011,4.974184811119109,-2.145155974901029
2007-2011,6.25103322823896,0.0760109146845453
2007-2011,5.027087435481354,-2.530673929720759
2007-2011,3.2330962579031977,1.6120249217320692
2007-2011,0.5897896716723985,-4.4773842255793355
2007-2011,-1.028790551120454,-8.238456066025387
2007-2011,7.43906724263241,-2.283116682965806
2007-2011,3.1177896027783225,-3.5822428646387783
2007-2011,-0.8394834381904961,-2.436424407193866
2007-2011,2.094748447569638,-2.421185590578554
2007-2011,6.949291616009006,-6.467855128584058
2007-2011,6.973797558777449,-4.901515534787961
2007-2011,6.846445766009098,-2.390200499684303
2007-2011,6.328198793691634,-3.012027463303509
2007-2011,5.224474331955592,-6.151520737463652
2007-2011,0.20613005642910004,-5.281853006265507
2007-2011,5.0286805517543645,-0.108684465020486
2007-2011,-2.694478236902995,-2.7597598291882797
2007-2011,6.288473427237345,-1.0175303941364677
2007-2011,4.543063732181386,0.6848001958925923
2007-2011,4.651943495363383,1.0579947118328317
2007-2011,3.607974464262178,-0.11851168112929367
2007-2011,3.4459675899608047,-1.0326310496158628
2007-2011,-0.9645962491883655,-3.640325151933278
2007-2011,6.072689266198475,0.6622628406354399
2007-2011,3.141270387531298,-5.203022681366091
2007-2011,6.459101556238846,-4.574691197106942
2007-2011,4.688637022081519,-4.503369071104485
2007-2011,7.423083684892647,-5.500253515601413
2007-2011,-3.5638137451748566,-4.391979890667574
2007-2011,6.179804186816174,-4.318358515397701
2007-2011,2.1527515627547555,1.6073085044729796
2007-2011,3.84341904179695,-2.4109253399886557
2007-2011,6.200307947978178,-1.9828624752794106
2007-2011,4.858026145542684,-2.5400447885452566
2007-2011,-2.758910191901795,-4.874199116191785
2007-2011,5.184048247191532,-4.913885930101866
2007-2011,2.10596586884327,-1.400427432347609
2007-2011,-3.6773499753474543,-2.626934970552001
2007-2011,-3.6936675278765128,-4.4730788036159534
2007-2011,7.904071580356977,-0.2865403248209599
2007-2011,7.683895881443348,-0.45970891643574113
2007-2011,7.627998335291185,-0.008925877806866545
2007-2011,5.151025333254847,-1.7901047894490447
2007-2011,7.509982673111968,-1.2449647353529794
2007-2011,8.596810654364313,-0.9530727527582714
2007-2011,7.792226536108444,0.0349855212175664
2007-2011,6.586774981047407,-0.8613011423320132
2007-2011,7.007607599346237,-1.7620819005442723
2007-2011,4.039535876323771,2.3084547986444868
2007-2011,3.8741931107439065,2.957515457300357
2007-2011,4.610606364238257,-6.380865811520032
2007-2011,-3.4601458594583594,-4.479836704658341
2007-2011,5.4788980932214635,-4.2050198943434935
2007-2011,4.305776373808255,1.9139504070714617
2007-2011,-2.4454019794138113,-5.136992945583585
2007-2011,-1.6577056908379861,-4.007198359251977
2007-2011,-0.50625957224144,-2.7385076142661626
2007-2011,-2.8531671182217053,-6.529245036723701
2007-2011,6.58295346571189,-1.2545818622568123
2007-2011,-2.5828182935411546,-5.317253234123816
2007-2011,-2.452064011926031,-5.87561352533987
2007-2011,6.341704221044591,-2.2618435407435333
2007-2011,5.0311944836925075,0.43109106031521294
2007-2011,2.1912710868586105,1.7440975740401008
2007-2011,7.062674667454399,-1.2687584771404152
2007-2011,2.244585084237372,-2.5708802981643926
2007-2011,7.041389215902261,-0.6689768876788056
2007-2011,5.024039053001918,0.8025633976005043
2007-2011,6.120259719561083,-1.1891450553762972
2007-2011,-3.495840601797453,-1.7104998268817866
2007-2011,2.9517845975243193,-2.6423071717983087
2007-2011,5.31829865138603,-3.408114472698932
2007-2011,-0.29833136591943066,-5.828398957402118
2007-2011,0.17579807013169424,-2.9809835754642577
2007-2011,6.7670288573763395,0.9548136677568329
2007-2011,6.391938123033546,0.4383029586713663
2007-2011,4.642973562952534,0.987408672221562
2007-2011,6.3533909598197,0.11948706183823024
2007-2011,2.7159350386338335,0.6419579559829494
2007-2011,5.925006898312434,-1.5976329162636413
2007-2011,5.023433568036364,-5.794659078664286
2007-2011,2.061217954083765,-1.533576263936526
2007-2011,4.400575880394715,2.2711705936337374
2007-2011,4.375490635955103,2.814991617267959
2007-2011,1.510087989621261,-5.259136228894175
2007-2011,4.070598964325509,-0.16419522722467822
2007-2011,6.315147323527581,2.0161896635137015
2007-2011,1.791366485517765,-3.65118588645457
2007-2011,4.1758190890062625,0.1680219126715138
2007-2011,6.427191093410634,1.4172244121774726
2007-2011,5.0735526695178566,-3.462769140415746
2007-2011,4.9487012767745355,-5.124379449704813
2007-2011,4.787795936515609,0.7604811928282261
2007-2011,-0.9001248032541067,-4.779613265379462
2007-2011,6.854736033861476,1.6930608398168983
2007-2011,5.000842441824356,-5.279924730836171
2007-2011,2.76828925631792,-1.2884143751734445
2007-2011,0.7219745940234439,-3.5309627435160023
2007-2011,5.164912682809611,-3.425036739381015
2007-2011,2.9750349762518136,-0.8508358190283818
2007-2011,0.4151094430211908,-4.815559041526463
2007-2011,4.624554577750263,-4.716673814967605
2007-2011,2.005332823250045,-3.204710494162865
2007-2011,6.37819633267881,-2.414596161289938
2007-2011,3.5841632725000885,-5.8402623148385775
2007-2011,6.014988471041752,-2.0032914500628736
2007-2011,4.376020551867341,1.376655555084778
2007-2011,2.712679108987092,0.49859678408060754
2007-2011,1.7557945598632814,-5.205023034218991
2007-2011,3.648378246361233,-5.83678078966421
2007-2011,4.046629180881979,0.8588596860270558
2007-2011,-1.93297595893312,-6.66444730363744
2007-2011,4.739195476624355,-0.926661056088121
2007-2011,6.002208742541846,-0.660333383583648
2007-2011,6.162867884840046,1.6894516018608148
2007-2011,2.931346564427381,0.2985236141561551
2007-2011,2.69848689763762,2.1004608987949425
2007-2011,6.254973406935058,-5.525293762523546
2007-2011,6.546533484639477,-5.721740791538972
2007-2011,3.2430755840424554,-0.7521433544192686
