x,y,year,period,representation
2.4453995,5.1369834,2008,2007-2011,SBERT Specter
1.6577036,4.0071836,2008,2007-2011,SBERT Specter
0.506253,2.7385268,2008,2007-2011,SBERT Specter
2.8531687,6.529242,2008,2007-2011,SBERT Specter
-6.582946,1.2545707,2008,2007-2011,SBERT Specter
2.582825,5.3172593,2008,2007-2011,SBERT Specter
2.4520676,5.875626,2008,2007-2011,SBERT Specter
-6.3417025,2.2618499,2008,2007-2011,SBERT Specter
-5.0312004,-0.4310927,2008,2007-2011,SBERT Specter
-2.1912823,-1.744101,2008,2007-2011,SBERT Specter
-7.0626764,1.2687835,2008,2007-2011,SBERT Specter
-2.2445803,2.570881,2008,2007-2011,SBERT Specter
-7.0413904,0.6689987,2008,2007-2011,SBERT Specter
-5.0240536,-0.8025763,2008,2007-2011,SBERT Specter
-6.120269,1.1891289,2008,2007-2011,SBERT Specter
3.4958355,1.7104951,2008,2007-2011,SBERT Specter
-2.951787,2.6423044,2008,2007-2011,SBERT Specter
-5.31831,3.4081278,2008,2007-2011,SBERT Specter
0.29832196,5.828404,2008,2007-2011,SBERT Specter
-0.17579865,2.9809732,2008,2007-2011,SBERT Specter
-6.767027,-0.95478195,2008,2007-2011,SBERT Specter
-6.391939,-0.43831545,2008,2007-2011,SBERT Specter
-4.642973,-0.9873997,2008,2007-2011,SBERT Specter
-6.353401,-0.119484305,2008,2007-2011,SBERT Specter
-2.7159328,-0.6419647,2008,2007-2011,SBERT Specter
-5.9250154,1.5976263,2008,2007-2011,SBERT Specter
-5.02343,5.7946563,2008,2007-2011,SBERT Specter
-2.06124,1.5335817,2008,2007-2011,SBERT Specter
-4.4005747,-2.2711802,2008,2007-2011,SBERT Specter
-4.375499,-2.8150048,2008,2007-2011,SBERT Specter
-1.5100892,5.259134,2008,2007-2011,SBERT Specter
-4.0706167,0.1641823,2008,2007-2011,SBERT Specter
-6.3151474,-2.016192,2008,2007-2011,SBERT Specter
-1.791363,3.6511884,2008,2007-2011,SBERT Specter
-4.1758184,-0.16804028,2008,2007-2011,SBERT Specter
-6.42719,-1.4172077,2009,2007-2011,SBERT Specter
-5.0735493,3.46276,2009,2007-2011,SBERT Specter
-4.9487047,5.1243863,2009,2007-2011,SBERT Specter
-4.787799,-0.76048994,2009,2007-2011,SBERT Specter
0.90012074,4.779613,2009,2007-2011,SBERT Specter
-6.8547363,-1.693057,2009,2007-2011,SBERT Specter
-5.0008535,5.279936,2009,2007-2011,SBERT Specter
-2.7682934,1.2884134,2009,2007-2011,SBERT Specter
-0.7219837,3.5309467,2009,2007-2011,SBERT Specter
-5.1649084,3.4250321,2009,2007-2011,SBERT Specter
-2.9750342,0.85084546,2009,2007-2011,SBERT Specter
-0.4151187,4.8155603,2009,2007-2011,SBERT Specter
-4.6245546,4.7166715,2009,2007-2011,SBERT Specter
-2.0053384,3.2046947,2009,2007-2011,SBERT Specter
-6.3781977,2.414589,2009,2007-2011,SBERT Specter
-3.584169,5.8402605,2009,2007-2011,SBERT Specter
-6.014986,2.003283,2009,2007-2011,SBERT Specter
-4.3760176,-1.3766695,2009,2007-2011,SBERT Specter
-2.712681,-0.4986088,2009,2007-2011,SBERT Specter
-1.7557962,5.20501,2009,2007-2011,SBERT Specter
-3.6483703,5.8367853,2009,2007-2011,SBERT Specter
-4.046631,-0.8588507,2009,2007-2011,SBERT Specter
1.9329777,6.664455,2009,2007-2011,SBERT Specter
-4.739196,0.92665386,2009,2007-2011,SBERT Specter
-6.002207,0.6603255,2009,2007-2011,SBERT Specter
-6.1628695,-1.6894567,2009,2007-2011,SBERT Specter
-2.9313471,-0.2985325,2009,2007-2011,SBERT Specter
-2.6984913,-2.1004634,2009,2007-2011,SBERT Specter
-6.2549753,5.5252886,2009,2007-2011,SBERT Specter
-6.5465336,5.7217374,2009,2007-2011,SBERT Specter
-3.2430706,0.75213635,2009,2007-2011,SBERT Specter
-7.7895403,3.5105977,2009,2007-2011,SBERT Specter
-5.879018,3.0788975,2009,2007-2011,SBERT Specter
-4.74219,4.888519,2009,2007-2011,SBERT Specter
-6.684517,-0.07233685,2009,2007-2011,SBERT Specter
-3.3462105,3.4409342,2009,2007-2011,SBERT Specter
-2.4615734,2.9484663,2009,2007-2011,SBERT Specter
-5.090746,0.2022286,2009,2007-2011,SBERT Specter
-7.2306423,3.2412162,2009,2007-2011,SBERT Specter
-7.018152,2.5434628,2009,2007-2011,SBERT Specter
-5.1759453,0.7138213,2009,2007-2011,SBERT Specter
-3.3930068,2.7888474,2009,2007-2011,SBERT Specter
-5.251457,1.3851913,2009,2007-2011,SBERT Specter
-0.5001831,5.6006303,2009,2007-2011,SBERT Specter
-4.5758867,2.049675,2009,2007-2011,SBERT Specter
-4.161769,4.053828,2009,2007-2011,SBERT Specter
-4.193466,0.5909643,2009,2007-2011,SBERT Specter
-5.5184016,-0.5153122,2009,2007-2011,SBERT Specter
-5.091201,1.8517581,2009,2007-2011,SBERT Specter
-5.4621696,-0.9033867,2009,2007-2011,SBERT Specter
-3.6582139,2.079441,2009,2007-2011,SBERT Specter
-5.535883,6.698353,2009,2007-2011,SBERT Specter
-6.3487244,3.3769073,2009,2007-2011,SBERT Specter
-6.048662,0.3406512,2009,2007-2011,SBERT Specter
-5.359835,1.6463047,2009,2007-2011,SBERT Specter
-3.899066,5.894914,2009,2007-2011,SBERT Specter
2.661619,4.9380717,2009,2007-2011,SBERT Specter
-6.5754766,-1.5419513,2009,2007-2011,SBERT Specter
-4.2984705,-1.3447714,2009,2007-2011,SBERT Specter
-4.4727964,4.235107,2009,2007-2011,SBERT Specter
-7.4002247,3.3521361,2009,2007-2011,SBERT Specter
-6.870797,2.7403913,2009,2007-2011,SBERT Specter
-6.7845592,5.030003,2009,2007-2011,SBERT Specter
-1.6938038,2.7633233,2009,2007-2011,SBERT Specter
-1.3757336,0.14488465,2009,2007-2011,SBERT Specter
-2.4978635,6.933067,2009,2007-2011,SBERT Specter
-4.421898,0.10997367,2009,2007-2011,SBERT Specter
-4.0153036,-2.44838,2009,2007-2011,SBERT Specter
-3.8922157,-3.0242152,2009,2007-2011,SBERT Specter
-0.6212678,4.2109103,2009,2007-2011,SBERT Specter
-5.3516636,2.5117736,2009,2007-2011,SBERT Specter
-3.6566615,4.6157117,2009,2007-2011,SBERT Specter
0.5601504,6.289456,2009,2007-2011,SBERT Specter
-3.9339147,1.6949028,2009,2007-2011,SBERT Specter
-4.2602377,1.1617703,2009,2007-2011,SBERT Specter
-8.61265,0.80090284,2009,2007-2011,SBERT Specter
-5.6261,0.50242436,2009,2007-2011,SBERT Specter
-7.9860754,3.5288005,2009,2007-2011,SBERT Specter
-4.148105,3.1246605,2009,2007-2011,SBERT Specter
-7.033993,1.451068,2009,2007-2011,SBERT Specter
-0.78153944,3.635549,2009,2007-2011,SBERT Specter
-5.065462,5.4348516,2009,2007-2011,SBERT Specter
-2.1645334,-0.17826203,2009,2007-2011,SBERT Specter
-6.1708813,-0.22799517,2009,2007-2011,SBERT Specter
-2.2303295,0.79694164,2009,2007-2011,SBERT Specter
-2.4648392,4.7329106,2009,2007-2011,SBERT Specter
-3.1237717,-1.2251117,2009,2007-2011,SBERT Specter
-1.2565968,5.0018353,2009,2007-2011,SBERT Specter
1.7600186,2.7936568,2009,2007-2011,SBERT Specter
2.202706,0.56706643,2009,2007-2011,SBERT Specter
1.2511003,3.1361337,2009,2007-2011,SBERT Specter
-2.7258976,3.5078497,2009,2007-2011,SBERT Specter
-6.4291487,2.903201,2009,2007-2011,SBERT Specter
-5.144124,0.42995203,2009,2007-2011,SBERT Specter
2.5645316,5.036968,2009,2007-2011,SBERT Specter
-4.6343956,5.2788644,2009,2007-2011,SBERT Specter
